Estacao,Data,Dia,Mes,Ano,Insolacao,TempMaxima,TempMinima,Temp Comp Media,Umidade Relativa Media,Precipitacao
82191,07/09/2018,7,9,18,7.3,33.5,22.7,26.16,90.25,19.7
82191,08/09/2018,8,9,18,7.2,33.7,23.1,26.86,84.25,45.8
82191,09/09/2018,9,9,18,3.5,33.2,24.2,27.26,86.5,0.9
82191,10/09/2018,10,9,18,10.3,34.4,23.1,27.9,81,2.8
82191,11/09/2018,11,9,18,8.9,34.3,23.2,28,80,0
82191,12/09/2018,12,9,18,7.5,34.3,23.5,27.8,82,0
82191,13/09/2018,13,9,18,10.3,33.9,22.7,27.88,72.5,2.6
82191,14/09/2018,14,9,18,9.6,34.3,21.3,27.52,71.5,0
82191,15/09/2018,15,9,18,10.8,34.9,22.9,27.92,73.25,0
82191,16/09/2018,16,9,18,10,34.7,22.8,27.42,77.25,0
82191,17/09/2018,17,9,18,10.6,35.1,22.3,28.16,76.25,6
82191,18/09/2018,18,9,18,6.8,33.7,23.2,26.94,86,0
82191,19/09/2018,19,9,18,6.7,33.5,23.1,26.44,87.5,13
82191,20/09/2018,20,9,18,10.3,34.7,22.6,28.06,59,0.2
82191,21/09/2018,21,9,18,10.2,34.7,23.3,28.16,73.25,0
82191,22/09/2018,22,9,18,7.9,34.6,23.5,27.28,84.5,0
82191,23/09/2018,23,9,18,7,32.8,23.1,26.66,87.75,5.5
82191,24/09/2018,24,9,18,7.8,33,22.1,27.02,84.75,30.2
82191,25/09/2018,25,9,18,8,33.1,22.4,27.54,78.75,0.2
82191,26/09/2018,26,9,18,7.9,33.5,22.9,27.62,74.25,0
82191,27/09/2018,27,9,18,8,33.5,22.7,27.7,75,0
82191,28/09/2018,28,9,18,8.6,33.2,23.5,27.5,74,0
82191,29/09/2018,29,9,18,8.8,33.1,22.8,27.42,76.75,0
82191,30/09/2018,30,9,18,8.3,34.2,22.2,27.32,79.25,0
82191,01/10/2018,1,10,18,9,33.5,23.2,27.5,77.25,21.8
82191,02/10/2018,2,10,18,9.4,34.1,23.1,27.46,79.75,0.2
82191,03/10/2018,3,10,18,9.4,33.6,23.5,26.9,84,0.4
82191,04/10/2018,4,10,18,9.1,33.9,22.2,27.58,76,10.8
82191,05/10/2018,5,10,18,9,33.9,23,27.62,77.25,0
82191,06/10/2018,6,10,18,7.7,33.7,23.1,27.36,80.5,2.4
82191,07/10/2018,7,10,18,6.6,33.7,23.4,26.58,86.5,1.2
82191,08/10/2018,8,10,18,8.6,34.3,22.7,27.64,82,1.7
82191,09/10/2018,9,10,18,10.2,33.9,22.5,27.6,74.75,0.2
82191,10/10/2018,10,10,18,6.9,33.1,23.2,27.46,77,0
82191,11/10/2018,11,10,18,8.6,34,23.7,28.3,72.75,0
82191,12/10/2018,12,10,18,8.6,33.5,23.1,27.78,73,0
82191,13/10/2018,13,10,18,9.4,34.3,21.8,27.66,74.25,0
82191,14/10/2018,14,10,18,6.9,34.6,22.1,26.94,83.25,0.8
82191,15/10/2018,15,10,18,8.4,34.5,22.5,28.08,73,1.1
82191,16/10/2018,16,10,18,6.9,34.8,23.1,27.3,90.25,0
82191,17/10/2018,17,10,18,6.7,34.2,22.7,27.5,91.25,39.7
82191,18/10/2018,18,10,18,8.6,34.3,23.9,27.68,79.5,7.9
82191,19/10/2018,19,10,18,10.4,34.2,21.4,27.76,73.25,2.1
82191,20/10/2018,20,10,18,9.9,33.9,23.1,27.92,76.5,0
82191,21/10/2018,21,10,18,9.1,34.6,23.5,28.38,75.75,0
82191,22/10/2018,22,10,18,10.4,34.6,22.9,28.4,72.5,0
82191,23/10/2018,23,10,18,9.8,34.3,22.3,27.6,80.5,0
82191,24/10/2018,24,10,18,9.4,34.8,23.9,28.5,74,0
82191,25/10/2018,25,10,18,8.7,34.1,22.7,27.68,80,0.2
82191,26/10/2018,26,10,18,7.5,33.5,23,26.78,87.75,3.6
82191,27/10/2018,27,10,18,9.7,33.4,22.3,27.46,84,34
82191,28/10/2018,28,10,18,10.5,34.7,23.5,28.46,74.75,0
82191,29/10/2018,29,10,18,8.3,34.7,23.1,28.2,77,0
82191,30/10/2018,30,10,18,7.7,34.3,23.1,27.72,80.5,0
82191,31/10/2018,31,10,18,8.8,34.8,23.5,28.46,75.5,6.6
82191,01/11/2018,1,11,18,9.1,34.3,23.3,27.36,81,0
82191,02/11/2018,2,11,18,8.8,33.9,22.2,26.98,82.5,5.4
82191,03/11/2018,3,11,18,8.4,34.3,22.7,27.76,79.75,38
82191,04/11/2018,4,11,18,8.9,34.5,23,27.86,76.5,0
82191,05/11/2018,5,11,18,8.9,35.6,23.5,27.62,81.75,9.5
82191,06/11/2018,6,11,18,7.5,34.1,23.1,27.4,88.75,0.2
82191,07/11/2018,7,11,18,8.3,34.5,23.3,27.3,84.75,20.2
82191,08/11/2018,8,11,18,8.8,34.6,22.9,28.18,72,18.6
82191,09/11/2018,9,11,18,9.8,35,22,28.08,75.25,0
82191,10/11/2018,10,11,18,8.6,34.5,24,27.68,83,0
82191,11/11/2018,11,11,18,9,34.3,22.6,27.9,77,22.6
82191,12/11/2018,12,11,18,7.7,34.1,23.4,28.04,75.75,0
82191,13/11/2018,13,11,18,8.6,34.8,23.3,28.34,77.5,6
82191,14/11/2018,14,11,18,9.7,34.7,23.1,28.56,76.5,0.1
82191,15/11/2018,15,11,18,5.1,33.5,24.5,28.38,75.75,0
